Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_2989,1,Battery_Cell,
"C1, C14, C17, C4, C47, C48, C49, C50, C53, C54, C61, C62, C63, C66, C87, C9",0603,16,1uF,
"C10, C13, C24, C36, C39, C40, C42",0603,7,10uF,
"C11, C23, C28, C8",0603,4,4.7uF,
"C12, C15, C18, C27, C32, C33, C34, C35, C37, C38, C7",0603,11,0.01uF,
"C16, C6",0603,2,47uF,
"C19, C20, C21, C22, C25, C26, C29, C30, C31, C41, C43, C44, C5, C55, C56, C57, C58, C59, C60, C64, C65, C72, C73, C74, C75, C76",0603,26,0.1uF,
"C2, C3",0603,2,27pF,
"C45, C46",CP_EIA-3528-12_Kemet-T,2,100uF,
"C51, C52",CP_Elec_5x5.3,2,100uF,
"C67, C68, C69, C70, C71, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86",0805,15,22uF,
"D1, D2, D3, D4, D5, D6, D9",0603,7,LED,
"D10, D11, D12, D13, D14, D15",0603,6,D_TVS,
"D7, D8",D_SOD-323,2,D,
"FB1, FB2",0603,2,~,
J1,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,1,HDMI_A,
J10,PinHeader_1x03_P2.54mm_Vertical,1,jumper_power_source,
J11,PinHeader_2x08_P2.54mm_Vertical,1,Conn_GPIO,
J12,PinHeader_1x03_P2.54mm_Vertical,1,jumper_5v,
J13,PinHeader_1x06_P2.54mm_Vertical,1,Conn_power,
J14,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J2, J9",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0,
J3,SJ-3523-SMT_CUD,1,SJ-3523-SMT,
"J4, J5",USB_A_Receptacle_GCT_USB1046,2,USB_A,
J6,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det2,
J7,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
JP1,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,snd_power,
"JP2, JP3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Bridged,
"L1, L2, L3",1008,3,2.2uH,
"L4, L5",1008,2,4.7uH,
Q1,SC-59,1,Q_NPN_BEC,
R1,0603,1,240,
"R10, R11, R12, R13, R16, R18, R2, R21, R22, R23, R24, R3, R4, R54, R58, R59, R6, R7, R71, R73, R74, R8, R9",0603,23,10K,
"R14, R17, R35, R36, R37, R38, R75",0603,7,25,
R15,0603,1,100K,
"R19, R20, R55, R56, R57, R60, R61, R62, R63",0603,9,75,
R25,0603,1,12K,
R26,0603,1,100,
"R27, R28, R51",0603,3,1M,
"R29, R30, R49, R50",0603,4,5.1K,
"R31, R32",0603,2,60K,
"R33, R34, R43, R44",0603,4,15K,
"R39, R40, R41, R42, R48, R52, R53",0603,7,1K,
R45,0603,1,200K,
"R46, R47",0603,2,1.5K,
R5,0603,1,510,
R64,0603,1,23.2K,
"R65, R68",0603,2,40.2K,
R66,0603,1,24.9K,
"R67, R69",0603,2,20K,
R70,0603,1,73.2K,
R72,0603,1,45.3K,
SW1,SPDT_204-124_CTS,1,204-124ST,
"SW2, SW4, SW6",SW_PUSH_6mm,3,SW_Push,
SW7,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
SW8,SW_JS202011SCQN,1,~,
SW9,mss3111,1,SW_SPDT,
U1,BGA-256_14.0x14.0mm_Layout16x16_P0.8mm_Ball0.45mm_Pad0.32mm_NSMD,1,Ti60F256,
U10,MSOP-10_3x3mm_P0.5mm,1,MCP4728,
U11,TSSOP-10_3x3mm_P0.5mm,1,LM4811,
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF85063AT/AY,
U13,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,1,STUSB4500QTR,
U14,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,
U15,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,MC2520Z 25MHz,
"U16, U23, U24, U25",SOT-363_SC-70-6,4,SN74LVC1T45DCK,
U17,SOTFL50P160X60-8N,1,TPS2116DRLR,
"U18, U19, U20, U21, U22",DRL0008A-MFG,5,TPS562211DRLR,
U2,BGA-96_9.0x13.5mm_Layout2x3x16_P0.8mm,1,IM8G16D3FFBG,
U3,IC_TFP410PAP,1,TFP410PAP,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JWS,
U5,LQFP-64_10x10mm_P0.5mm,1,FT2232HL,
"U6, U7, U9",SOT26_DIO,3,AP22653W6-7,
U8,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02-N4,
Y1,XTAL_ECS-120-20-3X-TR,1,12MHz,
Y2,Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering,1,Crystal,
Y3,XTAL_ECS-120-20-3X-TR,1,25MHz,
