Designator,Mid X,Mid Y,Rotation,Layer
C1,80.375,-96.8,180.0,top
C10,106.5,-68.925,270.0,top
C11,109.8,-68.95,270.0,top
C12,108.2,-68.925,270.0,top
C13,113.2,-68.9,270.0,top
C14,104.8,-68.925,270.0,top
C15,111.5,-68.9,270.0,top
C16,118.3,-68.9,270.0,top
C2,91.8,-94.7,0.0,top
C4,86.3,-76.025,270.0,top
C5,89.2,-76.7,180.0,top
C6,89.8,-70.4,180.0,top
C7,114.9,-68.9,270.0,top
C8,116.6,-68.925,270.0,top
C9,127.8,-77.875,270.0,top
D1,80.9,-106.2625,270.0,top
D2,87.4,-106.3125,270.0,top
D3,84.2,-106.2125,270.0,top
D4,127.8,-80.975,90.0,top
D5,124.2,-81.175,180.0,top
D6,125.3,-75.175,0.0,top
J1,68.275,-92.18,270.0,top
J10,70.8,-80.45,180.0,top
J2,90.2,-63.63,0.0,top
J3,92.0,-84.8,0.0,top
J4,82.9,-84.57,180.0,top
J5,70.05,-66.6,270.0,top
J6,86.3,-63.63,180.0,top
J7,99.2,-76.36,0.0,top
J8,113.330002,-77.214087,0.0,top
J9,126.33,-93.105,180.0,top
L1,93.7,-73.5375,90.0,top
L2,126.0,-78.075,90.0,top
Q1,123.5,-70.875,180.0,top
R1,71.5,-98.8,0.0,top
R2,71.5,-85.6,0.0,top
R3,91.8,-96.5,180.0,top
R4,91.8,-98.2,180.0,top
R5,80.9,-102.35,90.0,top
R6,87.4,-102.45,90.0,top
R7,84.2,-102.4,90.0,top
R8,86.3,-70.9,270.0,top
R9,120.0,-68.875,270.0,top
TH1,80.4,-99.1,0.0,top
U1,85.5625,-95.5,90.0,top
U2,97.0375,-68.75,180.0,top
U3,89.6375,-73.7,0.0,top
U4,115.7225,-92.66,90.0,top
U5,111.8225,-92.66,90.0,top
U6,107.9225,-92.66,90.0,top
U7,119.85,-92.825,270.0,top
